index,lat,lon,uwnd,vwnd
1000,-78.375,250.125,-2.3255813121795654,3.616553783416748
1010,-78.375,252.625,-3.2442164421081543,4.239150524139404
1020,-78.375,255.125,-4.098761081695557,3.879020929336548
1030,-78.375,257.625,-4.3703837394714355,3.4151253700256348
1040,-78.375,260.125,-4.538240909576416,3.5677225589752197
1050,-78.375,262.625,-4.165903568267822,3.470060348510742
1060,-78.375,265.125,-4.101812839508057,3.0275285243988037
1070,-78.375,267.625,-3.7172679901123047,2.377464532852173
1080,-78.375,270.125,-2.771165132522583,1.1719465255737305
1090,-78.375,272.625,-1.2055178880691528,-0.06714276969432831
1100,-78.375,275.125,0.491362988948822,-0.012207776308059692
1110,-78.375,277.625,0.9491546154022217,0.6378563046455383
1120,-78.375,280.125,2.1790881156921387,-0.33571386337280273
1130,-78.375,282.625,3.0977232456207275,-0.20448026061058044
1140,-78.375,285.125,3.274735927581787,1.1200634241104126
1150,-78.375,287.625,2.9786972999572754,1.6511017084121704
1160,-78.375,290.125,2.3561007976531982,1.7548677921295166
1170,-78.375,292.625,2.4140877723693848,1.1231154203414917
1180,-78.375,295.125,2.3744125366210938,-0.13428553938865662
1190,-78.375,297.625,2.264542579650879,-0.43032410740852356
1200,-78.375,300.125,2.151620626449585,-0.46999937295913696
1210,-78.375,302.625,1.9624000787734985,-0.921687126159668
1220,-78.375,305.125,1.9349325895309448,-1.272660732269287
1230,-78.375,307.625,0.7080510258674622,-1.0803881883621216
1240,-78.375,310.125,1.251297116279602,0.5249344110488892
1250,-78.375,312.625,1.1231154203414917,1.2024660110473633
1260,-78.375,315.125,0.24110358953475952,0.41811633110046387
1270,-78.375,317.625,-0.13733747601509094,-1.599218726158142
1280,-78.375,320.125,-0.11597387492656708,-0.9888298511505127
1290,-78.375,322.625,-0.3418177366256714,-1.1597387790679932
1300,-78.375,325.125,-1.4588292837142944,-2.7406458854675293
1310,-78.375,327.625,-0.9735701680183411,-2.2492828369140625
1320,-78.375,330.125,0.7507782578468323,-1.6816211938858032
1330,-78.375,332.625,1.290972352027893,-1.3642189502716064
1340,-78.375,335.125,1.3977904319763184,-2.4842824935913086
1350,-78.375,337.625,0.3723371624946594,-3.2442164421081543
1360,-78.375,340.125,0.33876579999923706,-3.570774555206299
1370,-78.375,342.625,0.7141548991203308,-3.5921382904052734
1380,-78.375,345.125,0.8972715735435486,-3.5158395767211914
1390,-78.375,347.625,0.7446743249893188,-3.689800500869751
1400,-78.375,350.125,0.7629860043525696,-3.4822680950164795
1410,-78.375,352.625,0.6622718572616577,-3.5585668087005615
1420,-78.375,355.125,0.9461026787757874,-3.4731123447418213
1430,-78.375,357.625,1.229933500289917,-3.4425928592681885
14400,-75.875,0.125,-2.0142831802368164,-4.352072238922119
14410,-75.875,2.625,-2.8749313354492188,-3.882072925567627
14420,-75.875,5.125,-3.6012940406799316,-3.082463502883911
14430,-75.875,7.625,-3.463956594467163,-2.768113374710083
14440,-75.875,10.125,-3.7844107151031494,-2.386620283126831
14450,-75.875,12.625,-4.034669876098633,-1.9166208505630493
14460,-75.875,15.125,-4.08350133895874,-1.4130500555038452
14470,-75.875,17.625,-3.9400599002838135,-1.1475310325622559
14480,-75.875,20.125,-3.970579147338867,-1.556491494178772
14490,-75.875,22.625,-4.422266960144043,-1.095647931098938
14500,-75.875,25.125,-4.010254383087158,-0.6287004947662354
14510,-75.875,27.625,-3.8759689331054688,-0.158701092004776
14520,-75.875,30.125,-3.842397689819336,0.6531160473823547
14530,-75.875,32.625,-3.802722215652466,0.5768174529075623
14540,-75.875,35.125,-3.650125026702881,0.41506439447402954
14550,-75.875,37.625,-3.5249953269958496,0.4089605212211609
14560,-75.875,40.125,-3.0916192531585693,0.8942196369171143
14570,-75.875,42.625,-2.3164255619049072,1.266556739807129
14580,-75.875,45.125,-1.3367514610290527,1.3642189502716064
14590,-75.875,47.625,-0.18922053277492523,2.6399316787719727
14600,-75.875,50.125,0.7660379409790039,3.500579833984375
14610,-75.875,52.625,0.6683757305145264,4.022462368011475
14620,-75.875,55.125,0.9491546154022217,3.378502130508423
14630,-75.875,57.625,-0.11597387492656708,2.545321464538574
14640,-75.875,60.125,-0.1709088683128357,2.9512298107147217
14650,-75.875,62.625,-0.8545443415641785,3.238112688064575
14660,-75.875,65.125,-1.7060366868972778,2.240126848220825
14670,-75.875,67.625,-2.493438243865967,1.1048038005828857
14680,-75.875,70.125,-2.6002564430236816,0.033571384847164154
14690,-75.875,72.625,-2.310321569442749,-1.229933500289917
14700,-75.875,75.125,-1.5625953674316406,-1.5107122659683228
14710,-75.875,77.625,-1.3062320947647095,-1.8952572345733643
14720,-75.875,80.125,-0.5646096467971802,-1.9318805932998657
14730,-75.875,82.625,1.6999328136444092,0.13733747601509094
14740,-75.875,85.125,1.8891533613204956,0.07019471377134323
